site_no,datetime,discharge_va,discharge_va_cd
8097500,8/15/1939,178,A
8097500,8/16/1939,175,A
8097500,8/17/1939,363,A
8097500,8/18/1939,1440,A
8097500,8/19/1939,2520,A
8097500,8/20/1939,1630,A
8097500,8/21/1939,1370,A
8097500,8/22/1939,1010,A
8097500,8/23/1939,1630,A
8097500,8/24/1939,1440,A
8097500,8/25/1939,1120,A
8097500,8/26/1939,962,A
8097500,8/27/1939,1060,A
8097500,8/28/1939,1500,A
8097500,8/29/1939,1300,A
8097500,8/30/1939,870,A
8097500,8/31/1939,1400,A
8097500,9/1/1939,1250,A
8097500,9/2/1939,1000,A
8097500,9/3/1939,830,A
8097500,9/4/1939,670,A
8097500,9/5/1939,560,A
8097500,9/6/1939,450,A
8097500,9/7/1939,380,A
8097500,9/8/1939,330,A
8097500,9/9/1939,280,A
8097500,9/10/1939,220,A
8097500,9/11/1939,190,A
8097500,9/12/1939,160,A
8097500,9/13/1939,145,A
8097500,9/14/1939,130,A
8097500,9/15/1939,115,A
8097500,9/16/1939,110,A
8097500,9/17/1939,100,A
8097500,9/18/1939,93,A
8097500,9/19/1939,86,A
8097500,9/20/1939,80,A
8097500,9/21/1939,77,A
8097500,9/22/1939,75,A
8097500,9/23/1939,72,A
8097500,9/24/1939,69,A
8097500,9/25/1939,67,A
8097500,9/26/1939,55,A
8097500,9/27/1939,61,A
8097500,9/28/1939,57,A
8097500,9/29/1939,59,A
8097500,9/30/1939,61,A
8097500,10/1/1939,63,A
8097500,10/2/1939,55,A
8097500,10/3/1939,46,A
8097500,10/4/1939,44,A
8097500,10/5/1939,44,A
8097500,10/6/1939,40,A
8097500,10/7/1939,32,A
8097500,10/8/1939,36,A
8097500,10/9/1939,37,A
8097500,10/10/1939,36,A
8097500,10/11/1939,40,A
8097500,10/12/1939,40,A
8097500,10/13/1939,40,A
8097500,10/14/1939,40,A
8097500,10/15/1939,40,A
8097500,10/16/1939,40,A
8097500,10/17/1939,40,A
8097500,10/18/1939,40,A
8097500,10/19/1939,40,A
8097500,10/20/1939,40,A
8097500,10/21/1939,40,A
8097500,10/22/1939,40,A
8097500,10/23/1939,40,A
8097500,10/24/1939,40,A
8097500,10/25/1939,40,A
8097500,10/26/1939,40,A
8097500,10/27/1939,28,A
8097500,10/28/1939,36,A
8097500,10/29/1939,37,A
8097500,10/30/1939,28,A
8097500,10/31/1939,25,A
8097500,11/1/1939,23,A
8097500,11/2/1939,26,A
8097500,11/3/1939,28,A
8097500,11/4/1939,63,A
8097500,11/5/1939,547,A
8097500,11/6/1939,735,A
8097500,11/7/1939,1060,A
8097500,11/8/1939,435,A
8097500,11/9/1939,435,A
8097500,11/10/1939,435,A
8097500,11/11/1939,435,A
8097500,11/12/1939,435,A
8097500,11/13/1939,435,A
8097500,11/14/1939,435,A
8097500,11/15/1939,435,A
8097500,11/16/1939,435,A
8097500,11/17/1939,435,A
8097500,11/18/1939,435,A
8097500,11/19/1939,435,A
8097500,11/20/1939,435,A
8097500,11/21/1939,435,A
8097500,11/22/1939,435,A
8097500,11/23/1939,435,A
8097500,11/24/1939,435,A
8097500,11/25/1939,140,A
8097500,11/26/1939,127,A
8097500,11/27/1939,112,A
8097500,11/28/1939,122,A
8097500,11/29/1939,127,A
8097500,11/30/1939,116,A
8097500,12/1/1939,105,A
8097500,12/2/1939,103,A
8097500,12/3/1939,89,A
8097500,12/4/1939,87,A
8097500,12/5/1939,93,A
8097500,12/6/1939,124,A
8097500,12/7/1939,114,A
8097500,12/8/1939,93,A
8097500,12/9/1939,87,A
8097500,12/10/1939,87,A
8097500,12/11/1939,87,A
8097500,12/12/1939,83,A
8097500,12/13/1939,83,A
8097500,12/14/1939,93,A
8097500,12/15/1939,93,A
8097500,12/16/1939,83,A
8097500,12/17/1939,77,A
8097500,12/18/1939,63,A
8097500,12/19/1939,63,A
8097500,12/20/1939,63,A
8097500,12/21/1939,59,A
8097500,12/22/1939,53,A
8097500,12/23/1939,80,A
8097500,12/24/1939,80,A
8097500,12/25/1939,80,A
8097500,12/26/1939,80,A
8097500,12/27/1939,80,A
8097500,12/28/1939,80,A
8097500,12/29/1939,80,A
8097500,12/30/1939,80,A
8097500,12/31/1939,80,A
8097500,1/1/1940,79,A
8097500,1/2/1940,79,A
8097500,1/3/1940,59,A
8097500,1/4/1940,79,A
8097500,1/5/1940,85,A
8097500,1/6/1940,83,A
8097500,1/7/1940,83,A
8097500,1/8/1940,79,A
8097500,1/9/1940,89,A
8097500,1/10/1940,103,A
8097500,1/11/1940,73,A
8097500,1/12/1940,67,A
8097500,1/13/1940,87,A
8097500,1/14/1940,70,A
8097500,1/15/1940,70,A
8097500,1/16/1940,70,A
8097500,1/17/1940,70,A
8097500,1/18/1940,70,A
8097500,1/19/1940,70,A
8097500,1/20/1940,70,A
8097500,1/21/1940,70,A
8097500,1/22/1940,60,A
8097500,1/23/1940,59,A
8097500,1/24/1940,59,A
8097500,1/25/1940,65,A
8097500,1/26/1940,65,A
8097500,1/27/1940,63,A
8097500,1/28/1940,79,A
8097500,1/29/1940,95,A
8097500,1/30/1940,83,A
8097500,1/31/1940,85,A
8097500,2/1/1940,85,A
8097500,2/2/1940,105,A
8097500,2/3/1940,162,A
8097500,2/4/1940,213,A
8097500,2/5/1940,120,A
8097500,2/6/1940,103,A
8097500,2/7/1940,112,A
8097500,2/8/1940,155,A
8097500,2/9/1940,155,A
8097500,2/10/1940,155,A
8097500,2/11/1940,155,A
8097500,2/12/1940,155,A
8097500,2/13/1940,155,A
8097500,2/14/1940,155,A
8097500,2/15/1940,155,A
8097500,2/16/1940,155,A
8097500,2/17/1940,155,A
8097500,2/18/1940,155,A
8097500,2/19/1940,155,A
8097500,2/20/1940,155,A
8097500,2/21/1940,155,A
8097500,2/22/1940,155,A
8097500,2/23/1940,155,A
8097500,2/24/1940,155,A
8097500,2/25/1940,183,A
8097500,2/26/1940,249,A
8097500,2/27/1940,280,A
8097500,2/28/1940,333,A
8097500,2/29/1940,375,A
8097500,3/1/1940,398,A
8097500,3/2/1940,352,A
8097500,3/3/1940,314,A
8097500,3/4/1940,297,A
8097500,3/5/1940,297,A
8097500,3/6/1940,221,A
8097500,3/7/1940,264,A
8097500,3/8/1940,221,A
8097500,3/9/1940,152,A
8097500,3/10/1940,110,A
8097500,3/11/1940,110,A
8097500,3/12/1940,110,A
8097500,3/13/1940,110,A
8097500,3/14/1940,110,A
8097500,3/15/1940,110,A
8097500,3/16/1940,110,A
8097500,3/17/1940,110,A
8097500,3/18/1940,110,A
8097500,3/19/1940,110,A
8097500,3/20/1940,110,A
8097500,3/21/1940,110,A
8097500,3/22/1940,69,A
8097500,3/23/1940,65,A
8097500,3/24/1940,61,A
8097500,3/25/1940,55,A
8097500,3/26/1940,61,A
8097500,3/27/1940,55,A
8097500,3/28/1940,51,A
8097500,3/29/1940,51,A
8097500,3/30/1940,51,A
8097500,3/31/1940,51,A
8097500,4/1/1940,48,A
8097500,4/2/1940,42,A
8097500,4/3/1940,51,A
8097500,4/4/1940,48,A
8097500,4/5/1940,345,A
8097500,4/6/1940,3180,A
8097500,4/7/1940,18900,A
8097500,4/8/1940,7980,A
8097500,4/9/1940,3410,A
8097500,4/10/1940,1760,A
8097500,4/11/1940,3140,A
8097500,4/12/1940,1930,A
8097500,4/13/1940,1930,A
8097500,4/14/1940,1930,A
